叶子类目名称,按订单量加权价格中位数,过滤后总订单量,过滤后样本行数 (1),过滤后样本行数
普通白酒,57.326328,9379,325,
普通金属纪念币/章,65.590476,244,53,
普通钢材,32,30,25,
景泰蓝,28,19,10,
景观庭院灯饰,49.670848,504,152,
景观道具,100,2,2,
智力思维训练,13.68,2421,285,
智慧白板,310,12,2,
智能中控,179,1,1,
智能互动玩具,51.98,358,94,
智能传感/报警器,47.054545,15,2,
智能健康监测设备,89,16,9,
智能健身设备,168,1,1,
智能儿童手表,108.257347,637,46,
智能充电设备,46.465517,54,12,
智能取色笔,11.7,3,2,
智能可视门铃,509,1,1,
智能台灯,124.122449,111,6,
智能喂养/饮水设备,334.436364,14,3,
智能家居系统套装,9.5,60,10,
智能家居设备配件,87.410526,126,10,
智能家庭终端设备,276.076923,13,1,
智能射灯/筒灯,109,4,3,
智能床垫,134.2,7,3,
智能开关,88.983051,77,17,
智能手环,233.902524,814,54,
智能手表,110.863652,2910,121,
智能按钮,12.6,18,6,
智能摄像头,204.855519,2391,47,
智能晾衣架,799.6785,264,16,
智能机,1199.5,1026,137,
智能机器人,161.25,14,7,
智能橱柜,816.666667,3,1,
智能浴室镜/镜柜,304.8,1,1,
智能清洁除臭设备,999,1,1,
智能灯,567,1,1,
智能猫眼,609,1,1,
智能电脑硬件,33.676923,20,4,
智能监护设备,105,1,1,
智能眼镜,147.7064,289,8,
智能窗,38.666667,9,1,
智能窗帘,1345,3,2,
智能美妆镜/化妆镜,83.552581,41,4,
智能花洒,224.25,4,1,
智能记事本/手写本/办公本,794.5,3,2,
智能设备配件,21.410952,2743,1417,
智能门,399.04,19,15,
智能门铃/可视门铃,51,7,6,
智能门锁,458,98,20,
智能门锁配件,9.988966,274,7,
智能马桶,1071.72727,61,32,
智能马桶盖,774,8,6,
晾衣杆,36.52,505,128,
晾衣架,6.666622,1065,60,
暖奶器/加热器,119.125,19,3,
暖宝宝,18.518912,878,48,
暖手宝/充电式热水袋,28.2,64,30,
暖手贴,21.1825,69,3,
暖气片/散热器,636,3,3,
暖气配件,90,1,1,
暖菜板/保温碟,13.589,14,4,
曲柄,7.24,2,1,
更多肉类,79,189,44,
更衣/沐浴帐篷,41.52,18,10,
替芯/铅芯,9.9,281,91,
月子调理,102.100476,28,4,
月季/蔷薇/玫瑰,15.519167,4542,355,
月饼,17.641537,2275,187,
有机肥,10.654489,4654,153,
有线宽带办理,399,25,12,
有色唇膏/口红,44.020909,7311,521,
有色金属,69.8,4,3,
服装配饰（鉴真）,44.623077,127,24,
服饰类期刊订阅,380,1,1,
朗姆酒/Rum,44.654364,62,4,
望远镜配件,70.909091,26,8,
期刊杂志,49.38,1,1,
木串,67.4,1349,157,
木刨,14.433333,43,4,
木器漆,35,185,106,
木姜子油,7.2375,5,2,
木屋凉亭,7100,1,1,
木屑,23.897853,715,39,
木带宝,19.9,117,75,
木方,19.843333,46,29,
木瓜,26.836177,2613,54,
木线条,27.56,5,4,
木质包装,49.95,2,1,
木质积木,52,7,6,
未来学,16.451667,23,6,
机床附件,100,5,4,
机械传动部件,22.5,1,1,
机械喷嘴,29.797109,1963,29,
机械工程,29,24,3,
机械硬盘,370,10,6,
机油滤芯,24,14,12,
机箱,109,22,12,
机箱电源风扇套装,589,1,1,
机顶盒共享器,19.485714,30,5,
杀线虫剂,732.2,2,1,
杀菌剂,35.555556,688,107,
杀菌灯,198.816667,18,4,
杀虫剂,65.0937,801,133,
杀螨剂,39.651667,22,6,
杀螺剂,7.91,1,1,
杂粮粉,16.67,1231,106,
杂粮组合,17.532308,1178,123,
李子,30.242979,1710,75,
李子干,16.366207,101,18,
杏,20.375319,1717,27,
杏仁/巴旦木,9.087153,793,75,
杏仁粉,42.785714,374,22,
杏干,27.675439,692,62,
杜仲,19.25,41,25,
杜仲叶,24.21,9,5,
杜仲茶,23,3,2,
束腿带,7.953571,26,6,
杠铃,31.8,25,13,
条案,3190,2,1,
条码扫描/采集器材,288.64,5,5,
杨桃,15.949756,219,17,
杨梅,36.518163,351,25,
杯,36,10,10,
杯刷/瓶刷,6.729346,531,37,
杯壶配件,10.4,493,263,
松子,68.038704,707,56,
松花/皮蛋,24.474569,2912,84,
松花粉,49.32,3,3,
松露巧克力,55.432857,78,12,
松香,33,1,1,
板式床,794.325,8,5,
板擦,6.59,1,1,
板栗/锥栗,38.866667,69,19,
板羽球/三毛球,24.3,3,2,
板羽球拍,25.35,9,6,
极限装备配件,43,11,8,
极限飞盘,8.685,5,2,
枇杷,37.408571,759,57,
枕头,57.051219,13333,913,
枕巾,16.8,989,166,
林业,14.95,2,1,
林业机械,167.2,22,5,
果/菜/肉/混合泥,51.982727,257,31,
果仁巧克力,63.210208,269,35,
果冻/布丁,21.392291,4742,162,
果冻/布丁粉,13.957576,799,76,
果冻胶/果冻贴,18,54,27,
果味/风味饮料,17.033835,8839,536,
果汁/饮品,33.790625,159,25,
果盆/果盘/果篮,9.917895,1126,242,
果糖/糖浆/麦芽糖/糖膏,9.642453,754,74,
果肉条,15.916031,2855,20,
果蔬专用清洁剂,13.139,363,18,
果蔬汁饮料,25.046303,6525,427,
果蔬消毒清洗机,78.8,2,1,
果蔬罐头,20.444208,1743,164,
果蔬苗木,12.39689,13439,1681,
果酒,40.9,460,104,
果酱,22,671,97,
果醋饮料,7.11385,1584,37,
枣,52.0733,666,50,
枣类制品,9.861687,12156,326,
架类,8,2,2,
枸杞,25.42075,3125,250,
枸杞原浆/枸杞制品,77.142486,4095,23,
柏香籽,72.337586,64,15,
柑/桔/橘,20.085462,4940,209,
染发,34.003439,23531,874,
染料,6.075,3,2,
柚子,25.811042,1151,57,
柚脯/柚干,26.9,3,3,
柜类,3600,1,1,
柠檬,12.090444,1718,107,
柠檬干,108.37186,59,5,
柠檬片,44.424167,43,6,
柴机油,169.1,20,8,
柴油滤芯,161.705714,22,2,
柿子,37.649123,255,14,
柿饼/吊柿/冰柿,14.567905,173,25,
栀子,17.676667,49,11,
标本,38,3,3,
标签标识系统,19.8,34,22,
树脂,19.99,25,10,
树莓,109.8,11,3,
核桃,24.021597,431,45,
核桃仁,38.851809,4886,37,
核桃油,24.64,60,7,
核雕,146.78505,12114,38,
格栅/面板灯,46.17,38,21,
桂圆干/龙眼干,34.883333,479,50,
桃,30.5635,796,40,
