叶子类目名称,按订单量加权价格中位数,过滤后总订单量,过滤后样本行数 (1),过滤后样本行数
蜡染印染,153,41,20,
蜡烛/烛台,18.6,480,170,
蜡笔,11.687953,442,25,
蝎类,52.8,2,2,
蝴蝶酥,9.047009,132,10,
螳螂,102.6,3,1,
螺,8.88,24,17,
螺丝刀,22.447059,22,5,
螺丝刀/螺丝批,10.648305,799,171,
螺套,10,1,1,
螺柱,111,1,1,
螺栓,10.6,38,34,
螺母,6.95,21,19,
螺类,89.112821,403,60,
螺类制品,25.594286,196,14,
螺蛳粉,31.019921,1569,101,
螺钉,13.833333,198,85,
蟋蟀,32.8,44,17,
蟹,16,92,48,
蟹类制品,36.369825,334,41,
蟹类零食,27.15,127,24,
血压计,56.822474,203,22,
血氧仪,49.9,1,1,
血糖仪器配件,39.609239,203,28,
行业/职业英语,17.244444,11,3,
行业专用设备,13.7,7,4,
行业制服,64,2406,1085,
行政法,70.4,1,1,
衣帽架,15.880192,1394,140,
衣架,12.60507,2414,380,
衣柜,133,329,140,
衣物柔顺剂,11.629434,7879,143,
衣物除尘滚/粘毛滚,12.665556,856,140,
衣物除菌剂,5.526721,6596,35,
衣物鞋类清洁泡泡/慕斯,19.160411,1262,23,
衣领净,55.869895,894,31,
补习袋,19.953846,263,71,
补发片,131.426804,3023,415,
补发笔/发际线粉,57.073652,360,10,
补漆笔,20.614286,648,151,
补益安神,39.7925,1487,170,
补益安神(Rx),53.471967,63,3,
补胎工具,19.9,153,86,
表面处理设备（涂装/抛光）,10.488,43,10,
衬衫,46.34,119625,13939,
袋泡茶,29.196552,5287,164,
袖/腿套/束管带,8.567983,3315,40,
袖套,7.318571,179,35,
袖标,7.333333,5,3,
袜套,14.357447,128,32,
袜子,13.07907,93,8,
被套,36,2068,844,
被子,52.5,9686,1856,
裁判专用哨,18.06,12,7,
裁判徽章,6.94,4,1,
裁缝剪,8.905098,279,68,
装修设计,39.9,46,8,
装甲漆/防爆漆/地盘装甲漆,38,16,10,
装裱工具,9.9,5,2,
装订机,15.9,1,1,
装订耗材,5.828571,20,11,
装饰/挂饰,18.9,475,213,
装饰画/油画/挂画,20.730275,2864,1202,
装饰贴/冰箱贴/墙贴/瓷砖/玻璃贴,9.52,4829,1615,
裙带菜,8.921006,2635,38,
裱花嘴/裱花枪/裱花袋,8.3,31,16,
裸珠,15.088889,67,13,
裸石,520.75,17,8,
裹裙/披纱,39,4,4,
褥疮垫/护理垫,15.489167,161,34,
西兰花/花菜,26.77,199,12,
西式调料菜,8.514046,3673,6,
西柚,35.8,22,4,
西洋参,97.241852,314,84,
西洋收藏,28.9,1,1,
西瓜,24.658091,2239,101,
西米,5.689275,109,15,
西红柿/番茄/圣女果,27.336531,4326,200,
西葫芦,8.681401,1555,14,
西装外套,81.825,5654,1204,
西装套装,100,8058,1673,
西裤,49.9,16122,2228,
西餐刀,19.8,33,13,
覆盆子,33.666667,22,12,
视力保护器/坐姿矫正器,140.849089,1440,59,
视觉检测系统,50,2,2,
视频展台/会议摄像头,29.27,10,1,
视频线,16,2,2,
视频采集卡,18.99,2,2,
角尺,32.143333,12,7,
角柜,143.9,4,4,
角磨机,78,107,42,
角阀,22.268,446,100,
解热镇痛用药,13.812403,184,13,
触摸屏/触控屏,39.9,3,1,
触摸屏手套,9.933333,3417,66,
警示牌,13.025556,25,7,
计分牌,9.08,13,8,
计划表,13.282683,121,17,
计时工具,8.564,8,4,
计生用药,30.02,4,3,
计算器,30.245455,200,41,
计算机/服务器及零部件,12.46,2,1,
计算机安全与密码学,34.2,7,1,
计算机控制仿真与人工智能,42.851897,149,14,
计算机理论和方法,44.5,1,1,
计算机等级考试/认证,33.7,2,1,
计算机辅助设计和工程,11.885714,17,2,
订书机,8.549,15,5,
训练用品,9.9,10,7,
训练筷,7.719104,1563,36,
训练背心(分组对抗),8,2,2,
记号笔,11.33,31,25,
记录仪,251.498708,537,91,
记忆棉床垫,301.6,19,8,
设备防护部件,10.37,4,4,
设计,15,7,2,
设计/创作,37.5,21,4,
设计创作/影音游戏动画,40,6,4,
识音器/集音器,133.2,5,1,
试纸,19.74,43,3,
试香工具,10.7,8,8,
话筒架,13.504,9,4,
语言/留学,39.9,11,2,
语言文字,13.908544,676,41,
语言翻译机,153.9,1,1,
诱导剂,9.4,57,17,
请柬,34.18,14,10,
读卡器,25.6,28,14,
课业本/教学用本,15.96,269,32,
调光调速开关,55,3,3,
调制乳/风味奶,21.653525,9369,114,
调味乌龙,54.272727,11,1,
调味普洱,31.428571,10,2,
调味汁,16.548894,2296,146,
调味盒/调料瓶,17.945455,469,86,
调味红茶,51.78375,10,3,
调味绿茶,49.41381,25,4,
调味黑茶,41.375,9,2,
调奶器,164.058824,268,32,
调情香水,8.91,1,1,
调色板,5.789474,21,3,
调色纸,10,2,2,
调节三高,46.55,10,5,
调酒器,11.464746,258,46,
调音台,392.888889,10,2,
调音器,10.881818,13,3,
谋略,61.27541,105,8,
谱架,26.788889,30,5,
谷麦饵饵料,12.833333,7399,960,
豆浆/植物复合蛋白饮料,41.409223,3347,137,
豆浆机,91.90625,88,16,
豆浆粉,21.8,2164,172,
豆瓣酱/豆酱,15.526941,4943,223,
豆皮,28.0596,862,42,
豆类,13.874571,635,69,
豆类制品,12.777687,8562,401,
豆类粉,19.9,38,20,
豆腐,17.8,8,5,
豆腐乳,15.6,2674,184,
豆腐干,14.371429,8437,524,
豆腐皮/腐竹/豆制品干货,6.817344,915,38,
豆蔻,26.871318,172,8,
豆角,15.949663,160,16,
贝果,24.753636,28,7,
贝类,60.899803,2748,105,
贝类制品,17.497793,420,28,
贝类罐头,35.9,2,2,
贝类零食,35.586154,157,22,
贝雕/贝壳制品,34.375,11,5,
负重装备,34.887045,175,56,
贡菜,16.653111,509,14,
财会金融考试,64.84507,74,4,
财务管理,29.8,2,1,
财经人物,6.78,1,1,
财经类期刊订阅,239.455,2,1,
账号充值/平台币,35.896552,450,61,
账本账册,8.2,56,19,
货架/尾架,26.9,22,14,
货架/展架,109.888889,294,215,
货箱/后备箱盖,2996,1,1,
贴片,9.99,96,33,
贴纸/贴膜,16.422069,287,167,
贵妃椅/榻,1461.28,1,1,
贵金属纪念币,690,12,8,
贵金属纪念章/条,1895.4023,88,2,
贵金属镶嵌人工/处理宝石,14589,1,1,
贸易政策,38.8,6,1,
贺卡/卡片,14.4,381,158,
赛事纪念品,24.55,7,3,
赛车服,254.15,214,68,
赛车球迷用品,8.9,2,2,
走步机,472.06,1,1,
起泡器/节水器,40.364706,175,26,
起重搬运设备,88,13,10,
起重滑车,219,1,1,
超声波洗牙器/洁牙仪,26.902632,134,11,
超声波清洗机,39.9,56,19,
超市家具,30.22,16,14,
越野射灯,218.333333,22,15,
越野车外侧脚踏板,347.125,30,15,
足底按摩垫/指压板,24.988878,4132,86,
足浴盆/足浴桶/足浴器,80.25,33,16,
足球,29.65,95,40,
足球球迷用品,42.618372,240,46,
足球鞋,108,208,154,
足膜,26.877778,150,18,
足部防护套,9.119063,650,90,
足金工艺品,6512.22,8,7,
足霜,19.358397,1318,56,
跆拳道脚靶,15.66,4,4,
跑步机,1482.33333,6,4,
跑步鞋,99,21877,3557,
跑轮,12.94,6,5,
跨境上网设备,66,3,1,
路亚饵,11.0461,3580,996,
路由器,149.433071,201,10,
路由器/猫/网卡配件,17.8,73,26,
路障闪灯,72.5,16,7,
跳栏/跳格梯,20.565946,41,5,
跳棋,10.82,3,2,
跳绳,21.569284,1054,184,
跳舞毯,341,3,1,
跳蚤圈,10.56,13,2,
跳蛋,30.333333,123,58,
跳跳床/蹦蹦床,208.5,13,8,
跳跳球/蹦蹦球,19.9,23,13,
跳高架,39,2,1,
踏步机,155.49,21,13,
踏脚凳,9.861538,51,13,
蹦床,284,21,12,
蹲便器,220.279167,95,21,
蹲便器配件,8.510614,738,4,
身体乳/霜/贴/膏/油,25.256013,34790,765,
身体喷雾,17.856882,2361,66,
身体护理套装,128.432283,1269,53,
身体磨砂膏/去角质膏,8.986555,3069,97,
身体链,18.828571,22,6,
身高尺,7.8,16,8,
车内灯,23,28,25,
车前草,11.2,14,6,
车厘子/樱桃,106.908462,3070,178,
车尾箱,67.377273,252,126,
车底检查镜,25.45,3,2,
车底防护板/发动机挡板,136,30,25,
车挂,139,1,1,
车掸,5.936245,1063,110,
车机互联转换盒,245.873866,193,13,
车牌架/牌照托,46.8,124,78,
车用吸尘器,124.738347,471,42,
车用天线,28.34,5,5,
车用密封胶条,20.001538,944,342,
车用挂钩,9.2,314,110,
车用收纳盒,43,231,139,
车用显示器/头枕屏,32.83,1,1,
车用氧吧/空气净化器,118,4,4,
车用水杯架,21.77,453,89,
车用清洗/除蜡/除胶剂,27.631874,5805,166,
车用点烟器,8.985,10,6,
车用烟灰缸,15.333333,164,99,
车用电饭煲,94.91,2,2,
车用眼镜夹,15.944444,143,48,
车用砂纸,39,27,19,
车用空气清新剂,14.609157,1410,72,
车用空调/风扇及配件,26.570769,115,35,
车用窗帘,28.03125,712,198,
车用纸巾盒/套,27.813333,237,88,
车用衣服架,8.454,56,6,
车窗/风挡,1074.4,1,1,
车窗及配件,26,25,12,
车蜡,19.616667,1132,65,
车衣/车罩,56,204,148,
车身饰条/门槛条,27.5,241,168,
车轮锁/车位锁,79.8,9,7,
车载GPS/定位器,40.105263,67,20,
车载MP3/MP4,46.9,1,1,
车载U盘,17.369008,481,45,
车载便携马桶,36.830769,21,6,
车载储物箱,63,84,48,
车载充气泵,29.05967,276,42,
车载充电器/数据线,13.623223,1992,241,
车载冰箱,156,26,18,
车载垃圾袋,15.38,50,33,
车载手机支架,19.955538,3141,658,
车载折叠桌/椅,32.5,53,11,
车载播放器,98,1,1,
车载数码配件,7.803162,794,48,
车载旅行床,108,221,109,
车载无线充电器,69.8,88,55,
车载灭火器,47.68,79,24,
车载烧水壶,128,3,3,
车载自动升窗器,65,138,42,
车载自行车架,115.43,1,1,
车载蓄电池,13.5625,55,6,
车载蓝牙,35.173784,88,20,
车载钟表,6.19,8,6,
车铃/喇叭,8.9,43,20,
车门,6.816923,13,1,
车门减震用品,12.132,86,25,
车门拉手,16.9,14,14,
车顶/车尾/车边帐篷,108.57,1,1,
车顶架/车顶箱,597.75,20,15,
车顶装饰,35.668,8,3,
轨道插座,119,42,18,
轨道灯,61,21,13,
轨道磁吸灯,81.6,5,2,
转向系统,12.8,12,5,
转换插头,21.876825,678,107,
转盘,29.436842,27,5,
转运珠,1095,53,33,
轮廓笔,6.216923,108,5,
轮椅及配件,387.8,22,15,
轮毂,1200,4,3,
轮毂保护用品,18.897143,55,26,
轮毂改色喷剂,19.8,2,1,
轮滑护具,10.9,21,17,
轮滑鞋,95,59,40,
轮胎保养修补剂,8.09,22,10,
轮胎清理钩/耙,8.908,27,3,
轮胎防滑剂,17.9,1,1,
轮胎防滑链,16.71,3,3,
软壳衣,56.485714,107,24,
软头笔,13.968333,116,27,
软弹枪,28.3,121,61,
软水机,443,1,1,
软胶积木,22.4,6,5,
软装搭配,46,14,6,
软足类,78.952766,653,69,
软足类制品,64.283333,48,8,
轴承,56,7,5,
轴承附属件,15.201622,437,107,
轻工业/手工业,19.09381,90,7,
轻食面,14.196963,1364,77,
辅食咬咬袋,16.741522,87,8,
辅食碗盆,13.9,97,23,
辣椒,16.48,9226,373,
辣椒类调料,15.333333,9076,636,
辣椒酱,16.190103,6709,493,
辰砂（朱砂）,38.333333,386,159,
边灯,145.2,2,1,
过家家玩具,15.7,525,228,
过滤器/净水器,7.539899,315,60,
运动,65.666667,7,4,
运动/瑜伽/健身家具,10.101818,58,10,
运动T恤/Polo衫,61.448649,17509,3852,
运动内衣,35.047714,4286,1050,
运动功能饮料,19.512657,2258,198,
运动卫衣/套头衫,59.9,798,216,
运动夹克/外套,119.907692,5289,1060,
运动套装,57.408,15685,4245,
运动护腕,5.90713,1741,97,
运动护腰,56.297057,1235,132,
运动护膝/髌骨带,48,1198,237,
运动护臂/肘,21.55,85,52,
运动护踝,19.9,438,49,
运动水壶,27.55,586,164,
运动球服,68,1233,624,
运动相机,302.942446,353,40,
运动紧急用品,18.568338,1418,9,
运动纤体食品,286.753408,2244,15,
运动肌肉贴/绷带,16.66,161,59,
运动袜,16.7875,12576,1321,
运动裙,56.859649,853,207,
运动裤,49.4375,19513,3421,
运动跟踪器,62.49,21,3,
运营商增值业务,16.88,5,1,
进口威士忌,184.478261,83,14,
进口白兰地,368,14,7,
进口葡萄酒,111.106245,5337,56,
进户门,500,3,1,
进排气系统,47,22,13,
进水软管,13,212,84,
远程网络教育培训,25.92,1,1,
远红外治疗仪,111.2475,39,12,
连体衣,76.9,1,1,
连体袜,22.8,2194,538,
连体钞/纪念钞,66.06,25,11,
连接件及配件,6.75,2,1,
连接器,16.419128,208,20,
连接器与插座,49.5,4,3,
连接线/连接器/转换器,27.073333,163,64,
连衣裙,58.671698,137851,14812,
追踪器,64.66,26,9,
退热贴,22.3125,103,21,
适老助起用具,227,8,5,
适老餐桌,1173.2,5,1,
逆变器,118.9,101,52,
透明质酸敷料,21.687126,370,17,
透明隐形眼镜,44.011667,1057,322,
逗猫棒,5.708982,957,98,
通信/网络/接口/功能模块,25,9,3,
通用座套,124.87,91,79,
通用数据线,7.678261,390,85,
通用脚垫,5.61639,655,36,
通花板,88,1,1,
通讯录/电话本,34.9,2,2,
速度球/发泄球,7.662727,28,11,
速溶咖啡,37.454489,11311,535,
速滑眼镜,71.33,1,1,
速食汤,15.15,2048,124,
速食火锅,48.25,937,67,
速食粥,21.147695,1175,101,
速食轻食简餐,71.117975,359,54,
造口护理,21.28,33,12,
造型盆景,40.555556,1824,242,
造景/装饰,11.386476,1341,308,
逻辑学,21.793333,5,2,
道路施工机械,418,19,15,
道路灯具,37.914894,85,15,
遥控/无线开关,15.585902,353,50,
遥控机器人/动物,78,1349,133,
遥控车/船,35.8,865,225,
遥控飞机,12.901254,1335,85,
遮瑕,36.978571,3171,222,
遮阳伞,55.571429,127,28,
遮阳挡/遮阳伞,19.633333,1880,510,
遮雪挡/雪挡被,9.57375,71,12,
避孕套,46.299556,3147,363,
邮册/出版物/徽章,40,48,22,
邮折/卡,28.22,1,1,
邮票衍生品,51.85,2,1,
都市/情感小说,22.406,11,3,
都市手工艺,22.5,2,1,
配件,146.985294,870,109,
配电柜/盘/箱,6.44,18,6,
配饰套装,27.98951,272,41,
酒具套装,18.8,73,43,
酒壶,33.835417,162,56,
酒店家具,82.51,10,6,
酒杯,8.513554,1274,200,
酒架,22.61,41,21,
酒柜,165,5,4,
酒盒,32.6,8,5,
酒精检测仪,41.161176,155,14,
酒精炉/酒精锅,24.650769,24,8,
酥性饼干,12.658904,13868,705,
酱油,23.640235,7993,252,
酵母粉,8.673428,4595,106,
酸奶,43.16,9574,229,
酸奶机/纳豆发酵机/米酒发酵机,29.4,5,3,
酸奶粉,16.067552,282,21,
酸度计,26.8,4,3,
酸枣仁,279,61,12,
酸梅粉,8.966394,1196,25,
酸菜,23.237624,426,38,
酸角,37.001626,396,15,
醋制品,22.740333,5039,174,
醒目豆,10.516053,50,7,
醒酒器,15.06,39,15,
释迦,33.108571,35,12,
重剑套装,39.243333,58,3,
野炊炉具,61.711712,539,117,
野菊花,27.466667,9,7,
野营旅行小配件,15.9,10,8,
野餐垫/防潮垫,20.949524,1427,181,
野餐炉具/户外炊具,43.82093,307,64,
野餐餐具,15.70194,113,29,
量筒/量杯,5.8,1,1,
量规,8.15,1,1,
金刚菩提,122.253333,296,93,
金属/搪瓷器,93.021359,12111,27,
金属丝绳缆,29.9,24,19,
金属加工机床,23,14,10,
金属探测器,10.9025,10,3,
金属漆,10.955842,239,68,
金属粉末,114.481818,34,2,
金桔类制品,40.443527,354,26,
金花茶,39.9,2,1,
金融,49.792143,83,15,
金酒/Gin,101.695714,28,3,
金银花,32.191,115,27,
金银花茶,45.94,20,6,
鎏金/鎏银陶瓷,37.506667,3,1,
针,9.566667,336,122,
针梳,6.419817,1532,71,
针织衫/毛衣/羊毛衫,32.694405,111125,8913,
钓具支架,15.693127,919,231,
钓台,337.2,22,17,
钓竿,62.6,5478,1158,
钓箱,112,248,89,
钓鱼伞,49,269,82,
钓鱼券,8.214894,973,15,
钓鱼灯,22.8,44,16,
钓鱼船,87,1,1,
钙铁锌,270.073801,1402,48,
钢丝球,13.378489,2635,47,
钢琴灯,28.8,1,1,
钢直尺,7.36,6,3,
钢笔,20.992,396,143,
钣金/喷漆服务,227,1,1,
钥匙包/零钱包,16.920347,884,366,
钥匙扣,11.390625,3267,755,
钱包,18.857143,466,115,
钳子,12.391111,976,260,
钳形表,200,11,7,
钻头,15.8,1606,447,
钻石绣,37.69066,212,75,
铁画,107,4,1,
铁线莲,9.898235,1162,163,
铁艺/钢木床,368,23,18,
铁艺沙发,2100.6,1,1,
铁锈清洁剂,19.9,11,6,
铅坠/铅皮,10.85,789,295,
铅球,10.95,4,3,
铅画纸,8.16,10,6,
铅笔,14.8,964,163,
铆钉,13.8,34,16,
铜及铜合金,72.953846,36,9,
铜鼓,194,2,1,
铝及铝合金型材,52.5,28,25,
铝塑板,8420,1,1,
铡草机,169.22,2,2,
铰链,14,8,6,
铲胶器,8.413333,18,4,
银杏,7.8,4,1,
银耳,49.9,10,6,
银耳/白木耳,75.032106,3623,63,
银鱼干,28.805882,91,6,
链条,50.829496,958,34,
销,11.8,118,50,
锁具,20.01,9,7,
锁具 (门锁/锁芯),32,73,48,
锁具(家具锁/抽屉锁),17.4425,95,65,
锂电钉枪,559,7,5,
锅具套装,47.146341,288,51,
锅具配件,9.9,558,186,
锅巴,12.200645,6985,234,
锅底黑垢清洁剂,9.075404,8295,28,
锅铲,11.198811,788,110,
锉刨,16.72,49,36,
锡纸,11.6,154,57,
锤子,11.332013,341,63,
键帽,29,163,74,
键盘,213.066667,1795,190,
键盘刷,5.9,4,2,
键鼠套装,6.169374,656,72,
锯/锯条,20.554059,1354,106,
镀晶镀膜,22.600659,1100,54,
镇纸,18.9,10,8,
镊子/粉刺针/细胞夹,7.064104,1396,85,
镜前灯,74,3,3,
镜头附件,27.2,51,27,
镜子,36.19,557,144,
镜布,18.268852,151,19,
镲片,545,1,1,
长寿果/碧根果,49.459259,154,24,
长笛,780,1,1,
长筒袜,23.428571,4297,406,
门厅/玄关柜,352,22,13,
门帘,18.9,3328,958,
门禁系统,8.9,14,12,
门窗控制器,8.12592,146,19,
门腕/贴,16.16,46,38,
门配件,12.5,213,95,
门锁盖,21.86225,460,125,
闪光灯,23.139216,209,21,
闪光灯配件,211,3,3,
闪存卡,80.37037,146,47,
闪存卡转接套,64,19,8,
闹钟,17.979655,203,71,
阀体油,97,4,1,
阀门,16.468966,212,95,
防冻液,26,80,36,
防寒衣/防磨衣,298.74,6,3,
防尘口罩,5.741283,1620,38,
防尘罩/空调罩/床头罩,14.722222,3766,1062,
防打鼾用品,17.423468,377,63,
防护手套,15.066667,671,101,
防护指套,7.2,13,10,
防护服,30.506667,314,129,
防护板,68,15,14,
防护袖套,38.369231,25,12,
防护镜,13.656667,212,73,
防护面罩,16.5,2201,155,
防摔帽,73.31184,194,23,
防撞/防划条,34.768333,85,36,
防撞贴,8.523163,620,95,
防晒口罩,15.027222,10357,833,
防晒喷雾,28.507483,2283,88,
防晒垫,45.07,127,114,
防晒服,40.871779,36540,4031,
防晒袖套/冰袖,11.94,2835,543,
防晒霜,49.734123,18710,475,
防晒霜/防晒乳/防晒棒,42.102844,3519,89,
防毒面罩,106.086957,35,12,
防水卷材/胶带,11.798182,2825,270,
防水喷剂,19.82,465,29,
防水涂料,27.197949,903,103,
防水贴,8.498431,4791,52,
防汛沙袋,67.363333,3,1,
防油贴纸,14.9,112,30,
防溅盒,11.5,82,32,
防滑垫,24.304348,423,151,
防火门,1125,2,1,
防盗器,141.586667,92,7,
防盗报警器,5.16,3,2,
防盗窗,19,4,2,
防盗系统,24.8,42,28,
防蓝光镜,34.883047,1261,284,
防走光扣,8.8,10,8,
防走光贴,11.318276,127,21,
防辐射用品,52,17,11,
防辐射眼镜,6.311584,123,16,
防追尾灯,25,70,46,
防锈剂/防锈油,30.4,8,3,
防雨/防雾膜,8.285714,63,14,
防雨布,37.928205,331,107,
防雾剂/帖,19.9,15,5,
防霉防蛀用品,8.934395,422,47,
防静电用品,7.746667,91,26,
阳台柜/洗衣机柜,102.77,3,2,
阴影/修容,16.594304,5116,128,
阴臀倒模,52.557619,210,55,
阿胶块,181.35,27,4,
阿胶浆,59,12,5,
阿胶膏/固元膏,169.34557,185,23,
陀螺,14.85,177,28,
陈年酒,161.666667,35,12,
陈皮,50.983006,614,79,
陈皮白茶,28.88,1,1,
陈皮茶,41.26,371,53,
除尘掸/掸头,35.930089,1760,55,
除油剂,18.577778,123,17,
除胶剂/解胶剂,15.9,9,3,
除臭贴/除臭粘贴垫,6.431579,35,8,
除草剂,16.952,892,138,
除螨仪,165.689444,93,6,
除螨包,17.241669,1142,18,
除螨喷雾/剂,17.849874,1317,48,
除螨贴/垫,63.545455,13,2,
除醛果冻/凝胶,158.882586,243,6,
除雪工具/喷剂,13.58,2,2,
陶瓷/马克杯,23.9,1910,393,
陶瓷周边,8.8,15,3,
陶笛,54,21,11,
隐形眼镜伴侣盒,10.60625,93,27,
隐形眼镜护理液,35.367252,581,48,
隔尿床垫,23.9,392,120,
隔热保温材料,29.866667,89,53,
隔离器/耦合器,10,2,2,
隔离霜/妆前乳,34.069254,16097,191,
隔音材料,169.2,89,36,
隔音隔热棉,33.54,18,13,
障碍物/标志物,6.040816,58,7,
雅思/IELTS,38.013333,4,2,
集成板/饰面板,55,5,4,
集成灶,5180,3,3,
集成电路（IC）,6.3,1,1,
集装化包装,249,1,1,
雕刻机,20.95,47,5,
雕塑,43.79,1,1,
雨伞,19.9,8691,1110,
雨伞架,16.35,9,8,
雨刮器,26.082857,3379,1183,
雨眉/晴雨挡,29.542857,253,123,
雨衣/雨披,24.32484,5414,717,
雨鞋/雨靴,23.9,2286,737,
雪梨茶,73.721429,103,7,
雪燕,60.404865,55,5,
雪茄剪/刀,29.58,45,34,
雪茄柜,674.25,8,2,
雪莲果,29.744839,106,10,
雪蛤制品,239,1,1,
雪里红,26.724396,284,6,
零件盒,18.191667,38,15,
雾化器及配件,199.709091,19,9,
雾灯,122.92,9,9,
震动棒,34.96,277,85,
露营/旅游/登山帐篷,205.254717,623,79,
露营遮阳篷/雨篷/广告篷,16.836226,2583,131,
露酒,45.275154,1361,56,
青春/都市/言情/轻小说,29.639818,381,108,
青梅,29.99,63,15,
青蟹,220.801486,94,10,
静电除尘纸,29.714286,176,15,
非乘用车轮胎,1198,5,5,
非洲史,26.3125,8,1,
非洲鼓,166.333333,26,15,
非流通外国钱币,59.866667,6,4,
靠垫/抱枕/午睡枕,35.64,2758,849,
面具,13.916066,168,40,
面包机/多士炉,42.809524,72,4,
面包糠,8.514286,51,19,
面包虫,7.02,14,3,
面包蟹/黄金蟹,168,16,3,
面扑/粉扑,11.397577,5708,241,
面条,18.408681,897,47,
面条/挂面,20.8,7168,564,
面条机/压面机,310.166667,11,6,
面点组合/礼盒,18.196299,760,34,
面皮/面饼,15.672558,45363,1385,
面盆龙头,54.607227,412,76,
面筋,17.395294,147,14,
面筋制品,15.333374,10769,650,
面粉/胚芽米,28.736,102,28,
面粉筛,12.8,45,29,
面罩,8.796875,245,44,
面膜,48.093514,26360,1108,
面部护理套装,136.544128,20400,709,
面部按摩工具,8.595238,235,31,
面部磨砂/去角质,16.321238,1025,43,
面部精华,57.718308,20796,981,
面部精油,38.291705,8908,185,
面镜,29.9,4,4,
面霜,26.480945,29296,1366,
靴子,88.315789,1800,740,
鞋垫,10.9,10302,2081,
鞋带,10.3712,376,136,
鞋撑,25.683137,390,21,
鞋架,18.654545,664,191,
鞋柜,142.74,165,91,
鞋袜除臭剂/干爽剂,20.1,674,82,
韧性饼干,11.6,1505,130,
音乐,33.9,32,17,
音乐CD/DVD/黑胶唱片,19.9,271,80,
音乐玩具,19.478261,249,70,
音响线,14.666667,6,4,
音响配件,60.9,62,20,
音箱/音响,39.05,3136,236,
音箱/音响配件,1469.81818,39,9,
音频FM,72.761857,2344,7,
音频接口,9.41,2,1,
音频采集卡,30,1,1,
项圈,14.478235,745,219,
项坠/吊坠,14.32,3352,404,
项链,20.78985,21854,1344,
项链/吊坠,85.898354,2586,339,
预拌粉,11.882358,2006,85,
预调鸡尾酒/Alcopop,33.73,76,16,
领导学,29.8,1,1,
领带,23.9,1,1,
领袖/政治人物,37.8,1,1,
领袖著作,59.126667,5,3,
颈椎牵引器,32.074545,26,8,
颈椎贴,42.654485,1660,53,
颈膜,33.904762,46,2,
颈霜,81.600228,1636,36,
颈饰/挂件/吊坠,110.391344,4528,531,
颜料画笔,12.771429,51,35,
风扇灯,84,136,49,
风湿骨外伤用药,30.116344,1124,80,
风湿骨外科(Rx),26.75,4,4,
风琴包,9.9,13,11,
风筝,13.8,233,99,
风筝线,9.5,2,2,
风筝绕线板,26.2,9,6,
风衣,60.392857,7590,1403,
风速仪,20.2,2,1,
飞机杯,48,254,99,
飞盘,8.63,22,13,
飞碟灯,18.522857,43,13,
飞行棋,17.8,22,14,
飞镖,10.9,13,3,
飞镖/射击/射箭类,27.45,609,151,
飞镖盘/飞镖靶,11.2725,30,6,
食品保鲜真空机,129,12,7,
食品加工机械,128,2,2,
食物吸油纸/膜,24.532121,175,18,
食物垃圾处理机,3449,3,1,
食物烘干机/风干机,261.5,4,1,
食物研磨器,76.026162,313,11,
食用色素,23.8,43,16,
食用花,21.985714,680,43,
食用菌菌种,6.88,85,42,
食盆,15,21,15,
食盐,23.765714,589,39,
餐具套装,14.1,1417,236,
餐具礼盒,132.5,12,6,
餐具笼/架,18,560,163,
餐凳,29.16,52,21,
餐垫,11.9,1583,452,
餐桌,481.606383,171,76,
餐桌椅四件套,549,25,21,
餐椅,187.9,60,33,
餐边柜,265.075,80,55,
餐饮/烘焙家具,77.84,47,33,
饭勺,13.900588,174,44,
饭团,18.99,54,15,
饭盒/保温盒/保鲜盒,42.914286,1382,335,
饮水器,21.066667,380,86,
饮水机,161.040385,118,21,
饮食文化,8.795761,125,8,
饮食营养 食疗,8.94863,1012,16,
饲料,62.197881,217,24,
饲料/零食,10.9,943,173,
饲料搅拌机,1290.90909,13,3,
饲料添加剂,13.837,2573,275,
饵料添加剂,14.742735,1071,65,
饺子盒,16.6605,167,26,
饼类,19.494057,4958,290,
饼胚,27.080541,97,9,
馄饨/抄手,52.286514,1050,77,
馅饼,26.125341,1105,60,
馍片馍丁,8.682587,795,54,
馒头/花卷/馍/窝窝头,27.835238,4301,222,
首饰收纳,12.600255,655,132,
香品,55.181192,909,38,
香器,192.333696,68,18,
香干,10.243836,184,25,
香料/香精,14.475429,42,3,
香椿芽,31.509015,471,18,
香榧,137.724,19,7,
香水,21.077647,9191,568,
香水/除味剂,25.579885,1884,73,
香水套装,44.175,75,22,
香油,10.451863,1050,56,
香波浴液,29.8,1119,89,
香皂,26.8693,15416,427,
香膏,19.9,164,28,
香草精,5.792727,14,4,
香菇类,32.827273,901,118,
香蕉,26.205037,5901,67,
香蕉干/片,14.617778,97,24,
香薰产品,22.979819,19749,1982,
香薰机,8.496228,919,47,
香辛干料,9.284922,5878,34,
马克思主义哲学,51.845937,113,8,
马克笔,28.407877,1289,69,
马匹保健护理,18.98,16,10,
马尾假发,28.180198,599,120,
马术头盔,87.8,2,2,
马桶刷/厕所刷,9.179273,2512,132,
马桶垫纸,9.37125,31,4,
马桶套/马桶座圈,11.595987,2534,294,
马桶清洁剂/洁厕剂,15.59503,9490,231,
马桶盖/坐便器盖板,32.108462,131,36,
马甲,40.607143,24551,3043,
马鞍,188,3,3,
马鞭,20.46,4,3,
驱狗器,64,5,3,
